Gene ID,Gene Type,Chrom,Gene Size
ENSG00000156052,Oncogene,AUTO,315371
ENSG00000174775,Oncogene,AUTO,5045
ENSG00000274267,Oncogene,AUTO,410
ENSG00000097007,Oncogene,AUTO,173729
ENSG00000205755,Oncogene,X,25201
ENSG00000068078,Oncogene,AUTO,15579
ENSG00000171094,Oncogene,AUTO,728792
ENSG00000152217,Oncogene,AUTO,388337
ENSG00000169083,Oncogene,X,186587
ENSG00000110092,Oncogene,AUTO,13387
ENSG00000096968,Oncogene,AUTO,143793
ENSG00000116044,Oncogene,AUTO,165102
ENSG00000184634,Oncogene,X,23898
ENSG00000105568,Oncogene,AUTO,39494
ENSG00000168036,Oncogene,AUTO,65355
ENSG00000172936,Oncogene,AUTO,4544
ENSG00000160201,Oncogene,AUTO,14631
ENSG00000171791,Oncogene,AUTO,196782
ENSG00000136352,Oncogene,AUTO,4757
ENSG00000134323,Oncogene,AUTO,6443
ENSG00000115524,Oncogene,AUTO,45307
ENSG00000165731,Oncogene,AUTO,53324
ENSG00000169032,Oncogene,AUTO,105495
ENSG00000133703,Oncogene,AUTO,46147
ENSG00000157764,Oncogene,AUTO,205601
ENSG00000141736,Oncogene,AUTO,42512
ENSG00000134853,Oncogene,AUTO,69150
ENSG00000166407,Oncogene,AUTO,44412
ENSG00000088256,Oncogene,AUTO,29594
ENSG00000066468,Oncogene,AUTO,120124
ENSG00000163041,Oncogene,AUTO,10150
ENSG00000105639,Oncogene,AUTO,23291
ENSG00000157404,Oncogene,AUTO,82797
ENSG00000198286,Oncogene,AUTO,137804
ENSG00000198625,Oncogene,AUTO,41741
ENSG00000146648,Oncogene,AUTO,192607
ENSG00000124151,Oncogene,AUTO,154975
ENSG00000182578,Oncogene,AUTO,60081
ENSG00000165409,Oncogene,AUTO,191313
ENSG00000087460,Oncogene,AUTO,71474
ENSG00000128602,Oncogene,AUTO,24673
ENSG00000142208,Oncogene,AUTO,26402
ENSG00000105976,Oncogene,AUTO,125996
ENSG00000213281,Oncogene,AUTO,12425
ENSG00000179348,Oncogene,AUTO,13758
ENSG00000121879,Oncogene,AUTO,91979
ENSG00000182054,Oncogene,AUTO,19459
ENSG00000135679,Oncogene,AUTO,42510
ENSG00000117400,Oncogene,AUTO,14923
ENSG00000136997,Oncogene,AUTO,6000
ENSG00000162434,Oncogene,AUTO,133275
ENSG00000089280,Oncogene,AUTO,14761
ENSG00000148400,Oncogene,AUTO,51353
ENSG00000074181,Oncogene,AUTO,41943
ENSG00000110395,Oncogene,AUTO,107650
ENSG00000147548,Oncogene,AUTO,112575
ENSG00000145604,Oncogene,AUTO,32330
ENSG00000139687,Oncogene,AUTO,295710
ENSG00000096717,Oncogene,AUTO,33721
ENSG00000186716,Oncogene,AUTO,138333
ENSG00000107968,Oncogene,AUTO,27896
ENSG00000157557,Oncogene,AUTO,19648
ENSG00000189067,Oncogene,AUTO,88659
ENSG00000101115,Oncogene,AUTO,20189
ENSG00000184481,Oncogene,X,7338
ENSG00000181163,Oncogene,AUTO,24021
ENSG00000136826,Oncogene,AUTO,5630
ENSG00000066336,Oncogene,AUTO,23716
ENSG00000187908,Oncogene,AUTO,83071
ENSG00000120008,Oncogene,AUTO,58349
ENSG00000077092,Oncogene,AUTO,423600
ENSG00000068028,Oncogene,AUTO,11198
ENSG00000150907,Oncogene,AUTO,196644
ENSG00000106462,Oncogene,AUTO,76938
ENSG00000067560,Oncogene,AUTO,53853
